question,topic,confidence,btc_direction
Trump ends Ukraine war in first 90 days?,other,0.259,0
Will Trump pardon Hunter Biden?,other,0.531,0
Trump ends taxes on tips in first 100 days?,Trump policy and executive order,0.561,1
Trump signs national abortion ban?,Trump policy and executive order,0.621,1
Will Trump pardon Diddy in his first 100 days?,other,0.461,0
Will Trump pardon Steve Bannon in his first 100 days?,other,0.507,0
Will Trump pardon Edward Snowden in his first 100 days?,other,0.483,0
Will Trump pardon Julian Assange in his first 100 days?,other,0.488,0
Will Trump end Department of Education in first 100 days?,other,0.265,0
Will Trump create Bitcoin reserve in first 100 days?,crypto ban or negative regulation,0.324,-1
Will Trump jail Hillary Clinton?,crypto ban or negative regulation,0.352,-1
Will Mircea Geoană win the 2024 Romanian Presidential election?,other,0.342,0
Will Marcel Ciolacu win the 2024 Romanian Presidential election?,other,0.332,0
Will George Simion win the 2024 Romanian Presidential election?,other,0.327,0
Will Nicolae Ciucă win the 2024 Romanian Presidential election?,other,0.294,0
Will Elena Lasconi win the 2024 Romanian Presidential election?,other,0.366,0
Will the GOP use 'Nuclear Option' to break filibuster?,other,0.457,0
Trump Admin recommends removing fluoride from water by April 29?,Trump policy and executive order,0.555,1
Solana ETF approved by July 31?,Solana price target,0.301,1
Doge ETF approved by July 31?,Ethereum price target,0.225,1
US congress stock trading ban in Trump's first 100 days?,Trump policy and executive order,0.371,1
Will Karol Nawrocki be the next President of Poland?,other,0.278,0
Will Rafał Trzaskowski be the next President of Poland?,other,0.298,0
Will Szymon Hołownia be the next President of Poland?,other,0.318,0
Will Marek Jakubiak be the next President of Poland?,other,0.316,0
Will Agnieszka Dziemianowicz-Bąk be the next President of Poland?,other,0.32,0
Will Grzegorz Braun be the next President of Poland?,other,0.265,0
Will Adrian Zandberg be the next President of Poland?,global politics and foreign elections,0.34,0
Will Artur Bartoszewicz be the next President of Poland?,other,0.32,0
Will Marek Woch be the next President of Poland?,other,0.3,0
Will Luisa González win the 2025 Ecuadorian Presidential Election? ,global politics and foreign elections,0.339,0
Will Trump pardon Roger Ver in his first 100 days?,other,0.294,0
Will Călin Georgescu win the Romanian Presidential election by  5-10%?,other,0.352,0
Will Elena Lasconi win the Romanian Presidential election by 0-5%?,other,0.37,0
Will Elena Lasconi win the Romanian Presidential election by 5-10%?,other,0.394,0
Will Călin Georgescu win the Romanian Presidential election by 10% or more?,other,0.326,0
Will Marcel Ciolacu advance to the Romanian Presidential Election Runoff?,other,0.354,0
Will George Simion advance to the Romanian Presidential Election Runoff?,global politics and foreign elections,0.314,0
Will Mircea Geoană advance to the Romanian Presidential Election Runoff?,other,0.371,0
Will George Simion win the most votes in the 1st round of the Romanian presidential election?,other,0.317,0
Will Călin Georgescu win the most votes in the 1st round of the Romanian presidential election?,other,0.318,0
Will Elena Lasconi win the most votes in the 1st round of the Romanian presidential election?,other,0.323,0
Will Marcel Ciolacu  win the most votes in the 1st round of the Romanian presidential election?,other,0.316,0
Will Victor Ponta win the most votes in the 1st round of the Romanian presidential election?,other,0.287,0
Will Daniel Funeriu win the most votes in the 1st round of the Romanian presidential election?,other,0.314,0
Will someone else win the most votes in the 1st round of the Romanian presidential election?,other,0.593,0
Will Trump recognize Somaliland in first 100 days?,other,0.519,0
Will Trump announce Kevin Hassett as next Fed Chair?,Federal Reserve interest rate hike,0.277,-1
Will Trump announce Judy Shelton as next Fed Chair?,Federal Reserve interest rate hike,0.259,-1
No Trump announcement of next Fed Chair by June 30?,other,0.399,0
Will Bitcoin replace SHA-256 before June?,other,0.322,0
OpenSea token market cap (FDV) <$1B one day after launch?,other,0.662,0
Opensea token market cap (FDV) $1-3b one day after launch?,other,0.497,0
Opensea token market cap (FDV) $3-5b one day after launch?,other,0.501,0
Opensea token market cap (FDV) $5-10b one day after launch?,other,0.493,0
Opensea token market cap (FDV) $10-15b one day after launch?,other,0.501,0
"Will the number of federal employees decrease by less than 25,000 between December and June? ",other,0.338,0
"Will the number of federal employees decrease by 200,000 or more between December and June? ",other,0.351,0
Trump Admin confirms Aliens exist in first 100 days?,other,0.558,0
Will Putin remain President of Russia through June?,other,0.45,0
Trump takes Panama Canal in first 100 days?,Trump policy and executive order,0.297,1
Ethereum all time high by June 30?,Ethereum price target,0.798,1
Will Trump increase cap on H-1B visas in first 100 days?,Trump policy and executive order,0.345,1
Will Trump eliminate H-1B visa in first 100 days?,Trump policy and executive order,0.275,1
Will federal spending decrease by less than $250b between Q4 2024 and Q2 2025?,other,0.386,0
Will federal spending decrease by $250-500b between Q4 2024 and Q2 2025?,other,0.427,0
Will federal spending decrease by more than $2t between Q4 2024 and Q2 2025?,other,0.361,0
Fed rate hike in 2025?,Federal Reserve interest rate hike,0.821,-1
US recession in 2025?,other,0.413,0
Fed emergency rate cut in 2025?,Federal Reserve interest rate cut,0.736,1
Tether insolvent in 2025?,other,0.363,0
Putin out as President of Russia in 2025?,other,0.492,0
Will no Fed rate cuts happen in 2025?,Federal Reserve interest rate cut,0.634,1
Will 1 Fed rate cut happen in 2025?,Federal Reserve interest rate cut,0.681,1
Will 2 Fed rate cuts happen in 2025?,Federal Reserve interest rate cut,0.748,1
Will 3 Fed rate cuts happen in 2025?,Federal Reserve interest rate cut,0.782,1
Will 4 Fed rate cuts happen in 2025?,Federal Reserve interest rate cut,0.794,1
Will 5 Fed rate cuts happen in 2025?,Federal Reserve interest rate cut,0.781,1
Will 8+ Fed rate cuts happen in 2025?,Federal Reserve interest rate cut,0.755,1
Will 7 Fed rate cuts happen in 2025?,Federal Reserve interest rate cut,0.773,1
Will 6 Fed rate cuts happen in 2025?,Federal Reserve interest rate cut,0.786,1
Will Pierre Poilievre be the next Canadian Prime Minister?,other,0.312,0
Will Mark Carney be the next Canadian Prime Minister?,other,0.346,0
Will Justin Trudeau be the next Canadian Prime Minister?,other,0.327,0
Will Andrew Cuomo win the Democratic Primary for Mayor of New York City?,other,0.278,0
Will Eric Adams win the Democratic Primary for Mayor of New York City?,other,0.246,0
Will Zellnor Myrie win the Democratic Primary for Mayor of New York City?,other,0.266,0
Will Jumaane Williams win the Democratic Primary for Mayor of New York City?,other,0.273,0
Will Brad Lander win the Democratic Primary for Mayor of New York City?,other,0.263,0
Will Whitney Tilson win the Democratic Primary for Mayor of New York City?,other,0.26,0
Will Ritchie Torres win the Democratic Primary for Mayor of New York City?,other,0.266,0
Will NVIDIA be the largest company in the world by market cap on December 31?,other,0.362,0
Will Microsoft be the largest company in the world by market cap on December 31?,other,0.327,0
Will Apple be the largest company in the world by market cap on December 31?,other,0.312,0
Will Alphabet be the largest company in the world by market cap on December 31?,other,0.278,0
Will Tesla be the largest company in the world by market cap on December 31?,other,0.4,0
Will Amazon be the largest company in the world by market cap on December 31?,other,0.354,0
Will Saudi Aramco be the largest company in the world by market cap on December 31?,other,0.442,0
"Will Bitcoin reach $1,000,000 by December 31, 2025?",Bitcoin price target,0.721,1
"Will Bitcoin reach $250,000 by December 31, 2025?",Bitcoin price target,0.687,1
"Will Bitcoin reach $200,000 by December 31, 2025?",Bitcoin price target,0.689,1
